shipment_id,origin,destination,transport_type,shipment_date,delivery_date,distance_km,weight_kg,weight_bucket,duration_days,shipment_cost_aed,cost_per_km,delay_flag,temperature_c,weather,day_of_week_num,month_num,is_weekend
1,Dubai,"Abu Dhabi",Courier,2023-04-13,2023-04-05,1226.4,981.2,Medium,1,2166.02,1.766,0,32.5,Clear,NULL,NULL,0
2,Sharjah,"Abu Dhabi",Truck,2023-12-15,2023-08-18,1872.24,3178.05,Heavy,1,5355.07,2.86,1,49.4,"Dust Storm",NULL,NULL,0
3,"Umm Al Quwain",Ajman,Air,2023-09-28,2023-03-05,861.85,220.29,Light,1,474.64,0.551,0,47.5,Hot,NULL,NULL,0
4,Sharjah,Fujairah,Truck,2023-04-17,2023-12-07,1622.81,4967.39,Heavy,234,7255.02,4.471,1,37.5,"Dust Storm",NULL,NULL,0
6,"Abu Dhabi",Ajman,Truck,2023-07-08,2023-09-26,1681.54,255.53,Light,80,386.72,0.23,1,36.7,Rainy,NULL,NULL,1
7,"Umm Al Quwain",Dubai,Truck,2023-01-21,2023-10-09,541.17,1626.61,Medium,261,792.25,1.464,1,43.8,"Dust Storm",NULL,NULL,1
8,Dubai,Ajman,Air,2023-04-13,2023-01-12,599.86,4158.97,Heavy,1,6237,10.397,0,21.1,Hot,NULL,NULL,0
9,Ajman,Dubai,Air,2023-05-02,2023-11-17,1365.4,1289.66,Medium,199,4402.25,3.224,1,33,Hot,NULL,NULL,0
10,Fujairah,"Ras Al Khaimah",Courier,2023-08-03,2023-07-21,449.05,2362.32,Heavy,1,1909.44,4.252,0,21.3,Hot,NULL,NULL,0
11,Sharjah,"Ras Al Khaimah",Air,2023-11-27,2023-05-07,481.43,94.8,Light,1,114.1,0.237,0,27.3,Hot,NULL,NULL,0
12,"Abu Dhabi",Sharjah,Air,2023-03-29,2023-11-03,631.37,399,Light,219,629.79,0.997,1,22.8,Rainy,NULL,NULL,0
13,Fujairah,Sharjah,Ship,2023-04-10,2023-07-10,1367.49,3041.79,Heavy,91,5823.46,4.259,1,48.8,Hot,NULL,NULL,0
14,Fujairah,"Umm Al Quwain",Ship,2023-12-26,2023-03-31,1782.09,975.82,Medium,1,2434.6,1.366,0,25.1,Hot,NULL,NULL,0
15,Fujairah,Ajman,Truck,2023-06-01,2023-12-22,1358.9,3472.8,Heavy,204,4247.27,3.126,1,24.5,"Dust Storm",NULL,NULL,0
16,Ajman,"Umm Al Quwain",Ship,2023-05-11,2023-04-27,1660.79,3928.03,Heavy,1,9133.09,5.499,1,49.2,"Dust Storm",NULL,NULL,0
17,"Abu Dhabi",Sharjah,Courier,2023-05-30,2023-12-19,1100.81,4252.42,Heavy,203,8425.99,7.654,1,35.5,Rainy,NULL,NULL,0
18,Sharjah,Fujairah,Courier,2023-11-05,2023-06-27,165.78,673.33,Medium,1,200.92,1.212,0,42.7,Rainy,NULL,NULL,1
19,"Abu Dhabi",Ajman,Truck,2023-09-15,2023-01-15,227.92,2280.27,Heavy,1,467.75,2.052,0,29.8,Rainy,NULL,NULL,0
20,Dubai,"Abu Dhabi",Courier,2023-12-10,2023-09-15,1122.15,4735.67,Heavy,1,9565.44,8.524,0,36,Hot,NULL,NULL,1
